MMI,CDPHE,Revised,Used in MMI,Phylum,Class,Order,Family,Genus,Species,Subspecies,Variety,Form
Achnanthes_coarctata,Achnanthes_coarctata,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,Achnanthes coarctata,,,
Achnanthidium,Achnanthidium,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,,,,
Achnanthidium_affine,Achnanthidium_affine,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium affine,,,
Achnanthidium_altergracillima,Achnanthidium_altergracillima,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium altergracillima,,,
Achnanthidium_caledonicum,Achnanthes_minutissima_var._scotica,Y,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium caledonicum,,,
Achnanthidium_deflexum,Achnanthidium_deflexum,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium deflexum,,,
Achnanthidium_exiguum,Achnanthidium_exiguum,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium exiguum,,,
Achnanthidium_gracillimum,Achnanthidium_gracillimum,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium gracillimum,,,
Achnanthidium_microcephalum,Achnanthidium_microcephalum,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium microcephalum,,,
Achnanthidium_minutissimum,Achnanthidium_minutissimum,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium minutissimum,,,
Achnanthidium_pyrenaicum,Achnanthidium_pyrenaicum,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium pyrenaicum,,,
Achnanthidium_rivulare,Achnanthidium_rivulare,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium rivulare,,,
Adlafia,Adlafia,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia,,,,
Adlafia_minuscula,Adlafia_minuscula,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia,Adlafia minuscula,,,
Amphipleura_pellucida,Amphipleura_pellucida,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura,Amphipleura pellucida,,,
Amphora,Amphora,N,Y,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,,,
Amphora_montana,Amphora_montana,N,Y,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,Amphora montana,,,
Amphora_ovalis,Amphora_ovalis,N,Y,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,Amphora ovalis,,,
Amphora_ovalis_var._affinis,Amphora_ovalis_var._affinis,N,N,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,Amphora ovalis var. affinis,,,
Amphora_pediculus,Amphora_pediculus,N,Y,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,Amphora pediculus,,,
Asterionella_formosa,Asterionella_formosa,N,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,,,
Aulacoseira,Aulacoseira,N,Y,Bacillariophyta,Bacillariophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,,,,
Aulacoseira_alpigena,Aulacoseira_alpigena,N,Y,Bacillariophyta,Bacillariophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,Aulacoseira alpigena,,,
Aulacoseira_ambigua,Aulacoseira_ambigua,N,Y,Bacillariophyta,Bacillariophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,Aulacoseira ambigua,,,
Aulacoseira_italica,Aulacoseira_italica,N,Y,Bacillariophyta,Bacillariophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,Aulacoseira italica,,,
Aulacoseira_italica_var._tenuissima,Aulacoseira_italica_var._tenuissima,N,Y,Bacillariophyta,Bacillariophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,Aulacoseira italica,,Aulacoseira italica var. tenuissima,
Bacillaria_paxillifera,Bacillaria_paradoxa,Y,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Bacillaria,Bacillaria paxillifera,,,
Brachysira_brebissonii,Brachysira_brebissonii,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira,Brachysira brebissonii,,,
Brachysira_microcephala,Brachysira_microcephala,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira,Brachysira microcephala,,,
Caloneis,Caloneis,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,,,,
Caloneis_amphisbaena,Caloneis_amphisbaena,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,Caloneis amphisbaena,,,
Caloneis_bacillum,Caloneis_bacillum,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,Caloneis bacillum,,,
Caloneis_lewisii,Caloneis_schumanniana,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,Caloneis lewisii,,,
Caloneis_molaris,Caloneis_molaris,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,Caloneis molaris,,,
Caloneis_silicula,Caloneis_silicula,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,Caloneis silicula,,,
Caloneis_silicula_f._peisonis,Caloneis_silicula_f._peisonis,N,N,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,Caloneis silicula,,,Caloneis_silicula_f._peisonis
Caloneis_ventricosa_var._alpina,Caloneis_silicula_var._alpina,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,Caloneis ventricosa,,Caloneis ventricosa var. alpina,
Campylodiscus,Campylodiscus,N,Y,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Campylodiscus,,,,
Cavinula_cocconeiformis,Navicula_cocconeiformis,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula,Cavinula cocconeiformis,,,
Cavinula_pseudoscutiformis,Cavinula_pseudoscutiformis,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula,Cavinula pseudoscutiformis,,,
Chamaepinnularia,Chamaepinnularia,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia,,,,
Cocconeis_fluviatilis,Cocconeis_fluviatilis,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Cocconeis,Cocconeis fluviatilis,,,
Cocconeis_neothumensis,Cocconeis_neothumensis,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Cocconeis,Cocconeis neothumensis,,,
Cocconeis_pediculus,Cocconeis_pediculus,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Cocconeis,Cocconeis pediculus,,,
Cocconeis_placentula,Cocconies_placentula_var._lineata,Y,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Cocconeis,Cocconeis placentula,,,
Cocconeis_placentula,Cocconeis_placentula_var._euglypta,Y,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Cocconeis,Cocconeis placentula,,,
Cocconeis_placentula,Cocconeis_placentula_var._pseudolineata,Y,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Cocconeis,Cocconeis placentula,,,
Craticula_ambigua,Craticula_ambigua,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,Craticula ambigua,,,
Craticula_buderi,Craticula_buderi,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,Craticula buderi,,,
Craticula_cuspidata,Craticula_cuspidata,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,Craticula cuspidata,,,
Craticula_halophila,Craticula_halophila,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,Craticula halophila,,,
Craticula_subminuscula,Navicula_subminuscula,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,Craticula subminuscula,,,
Ctenophora_pulchella,Ctenophora_pulchella,N,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Ctenophora,Ctenophora pulchella,,,
Cyclostephanos,Cyclostephanos,N,Y,Bacillariophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Cyclostephanos,,,,
Cyclotella_comensis,Cyclotella_comensis,N,Y,Bacillariophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,Cyclotella comensis,,,
Cyclotella_meneghiniana,Stephanocyclus_meneghiniana,Y,Y,Bacillariophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,Cyclotella meneghiniana,,,
Cylindrotheca_closterium,Cylindrotheca_closterium,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca closterium,,,
Cylindrotheca_gracilis,Cylindrotheca_gracilis,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca gracilis,,,
Cymatopleura_elliptica,Cymatopleura_elliptica,N,Y,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Cymatopleura,Cymatopleura elliptica,,,
Cymatopleura_solea,Cymatopleura_solea,N,Y,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Cymatopleura,Cymatopleura solea,,,
Cymbella,Cymbella,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,,,,
Cymbella_affinis,Cymbella_excisa,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella affinis,,,
Cymbella_affinis,Cymbella_affinis,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella affinis,,,
Cymbella_affinis,Cymbella_excisa,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella affinis,,,
Cymbella_affinis,Cymbella_excisa_var._subcapitata,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella affinis,,,
Cymbella_aspera,Cymbella_aspera,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella aspera,,,
Cymbella_cymbiformis,Cymbella_cymbiformis,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella cymbiformis,,,
Cymbella_ehrenbergii,Cymbella_ehrenbergii,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella ehrenbergii,,,
Cymbella_excisa_var._procera,Cymbella_excisa_var._procera,N,N,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella excisa,,Cymbella excisa var. procera,
Cymbella_hustedtii,Cymbella_hustedtii,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella hustedtii,,,
Cymbella_janischii,Cymbella_mexicana_var._janischii,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella janischii,,,
Cymbella_laevis,Cymbella_laevis,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella laevis,,,
Cymbella_lanceolata,Cymbella_lanceolata,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella lanceolata,,,
Cymbella_mexicana,Cymbella_mexicana,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella mexicana,,,
Cymbella_neocistula,Cymbella_neocistula,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella neocistula,,,
Cymbella_neoleptoceros,Cymbella_neoleptoceros,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella neoleptoceros,,,
Cymbella_proxima,Cymbella_proxima,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella proxima,,,
Cymbella_subhelvetica,Cymbella_subhelvetica,N,N,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella subhelvetica,,,
Cymbella_subturgidula,Cymbella_subturgidula,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella subturgidula,,,
Cymbella_tumida,Cymbella_tumida,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella tumida,,,
Cymbella_turgidula,Cymbella_turgidula,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella turgidula,,,
Cymbopleura,Cymbopleura,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura,,,,
Cymbopleura_naviculiformis,Cymbopleura_naviculiformis,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura,Cymbopleura naviculiformis,,,
Denticula,Denticula,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Denticula,,,,
Denticula_kuetzingii,Denticula_obtusa._Nitzschia_denticula,Y,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Denticula,Denticula kuetzingii,,,
Diadesmis_perpusilla,Diadesmis_perpusilla,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Diadesmis,Diadesmis perpusilla,,,
Diatoma_anceps,Diatoma_anceps,N,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Diatoma,Diatoma anceps,,,
Diatoma_hyemalis,Diatoma_hiemale,Y,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Diatoma,Diatoma hyemalis,,,
Diatoma_mesodon,Diatoma_mesodon,N,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Diatoma,Diatoma mesodon,,,
Diatoma_moniliformis,Diatoma_moniliformis,N,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Diatoma,Diatoma moniliformis,,,
Diatoma_tenuis,Diatoma_tenuis,N,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Diatoma,Diatoma tenuis,,,
Diatoma_vulgaris,Diatoma_vulgaris,N,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Diatoma,Diatoma vulgaris,,,
Didymosphenia_geminata,Didymosphenia_geminata,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Didymosphenia,Didymosphenia geminata,,,
Diploneis,Diploneis,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,,,,
Diploneis_elliptica,Diploneis_elliptica,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,Diploneis elliptica,,,
Diploneis_finnica,Diploneis_finnica,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,Diploneis finnica,,,
Diploneis_oblongella,Diploneis_oblongella,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,Diploneis oblongella,,,
Diploneis_ovalis,Diploneis_ovalis,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,Diploneis ovalis,,,
Diploneis_parma,Diploneis_parma,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,Diploneis parma,,,
Diploneis_pseudovalis,Diploneis_pseudovalis,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,Diploneis pseudovalis,,,
Diploneis_puella,Diploneis_puella,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,Diploneis puella,,,
Discostella_glomerata,Discostella_glomerata,N,Y,Bacillariophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Discostella,Discostella glomerata,,,
Discostella_stelligera,Discostella_stelligera,N,Y,Bacillariophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Discostella,Discostella stelligera,,,
Encyonema,Encyonema,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,,,,
Encyonema_brehmii,Cymbella_brehmii,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,Encyonema brehmii,,,
Encyonema_caespitosum,Encyonema_cespitosum,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,Encyonema caespitosum,,,
Encyonema_latens,Encyonema_latens,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,Encyonema latens,,,
Encyonema_leibleinii,Encyonema_prostratrum,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,Encyonema leibleinii,,,
Encyonema_minutum,Encyonema_minutum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,Encyonema minutum,,,
Encyonema_reichardtii,Encyonema_reichardtii,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,Encyonema reichardtii,,,
Encyonema_reichardtii,Encyonopsis_reichardtii,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,Encyonema reichardtii,,,
Encyonema_reimeri,Encyonema_muelleri,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,Encyonema reimeri,,,
Encyonema_silesiacum,Encyonema_silesiacum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,Encyonema silesiacum,,,
Encyonema_temperei,Encyonema_ventricosum,Y,N,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,Encyonema temperei,,,
Encyonema_triangulum,Encyonema_triangulum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,Encyonema triangulum,,,
Encyonema_yellowstonianum,Encyonema_yellowstonianum,N,N,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,Encyonema yellowstonianum,,,
Encyonopsis_cesatii,Encyonopsis_cesatii,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis,Encyonopsis cesatii,,,
Encyonopsis_microcephala,Encyonopsis_microcephala,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis,Encyonopsis microcephala,,,
Encyonopsis_neerlandica,Encyonopsis_neerlandica,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis,Encyonopsis neerlandica,,,
Encyonopsis_subminuta,Encyonopsis_subminuta,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis,Encyonopsis subminuta,,,
Entomoneis_paludosa,Entomoneis_paludosa,N,Y,Bacillariophyta,Bacillariophyceae,Surirellales,Entomoneidaceae,Entomoneis,Entomoneis paludosa,,,
Epithemia_adnata,Epithemia_adnata,N,Y,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,Epithemia adnata,,,
Epithemia_adnata_var._saxonica,Epithemia_adnata_var._saxonica,N,N,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,Epithemia adnata,,Epithemia adnata var. saxonica,
Epithemia_alpestris,Epithemia_argus_var._alpestris,Y,N,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,Epithemia alpestris,,,
Epithemia_argus,Epithemia_argus,N,Y,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,Epithemia argus,,,
Epithemia_sorex,Epithemia_sorex,N,Y,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,Epithemia sorex,,,
Epithemia_turgida,Epithemia_turgida,N,Y,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,Epithemia turgida,,,
Epithemia_turgida_var._granulata,Epithemia_turgida_var._granulata,N,Y,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,Epithemia turgida,,Epithemia turgida var. granulata,
Epithemia_turgida_var._westermannii,Epithemia_turgida_var._westermannii,N,Y,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,Epithemia turgida,,Epithemia turgida var. westermannii,
Eucocconeis_flexella,Eucocconeis_flexella,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Eucocconeis,Eucocconeis flexella,,,
Eucocconeis_laevis,Eucocconeis_laevis,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Eucocconeis,Eucocconeis laevis,,,
Eunotia,Eunotia,N,Y,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Eunotia,Eunotia,,,
Eunotia_arcus,Eunotia_arcus,N,Y,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Eunotia,Eunotia arcus,,,
Eunotia_bilunaris,Eunotia_bilunaris,N,Y,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Eunotia,Eunotia bilunaris,,,
Eunotia_boreoalpina,Eunotia_boreoalpina,N,N,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Eunotia,Eunotia boreoalpina,,,
Eunotia_boreotenuis,Eunotia_boreotenuis,N,N,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Eunotia,Eunotia boreotenuis,,,
Eunotia_incisa,Eunotia_incisa,N,Y,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Eunotia,Eunotia incisa,,,
Eunotia_metamonodon,Eunotia_metamonodon,N,Y,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Eunotia,Eunotia metamonodon,,,
Eunotia_minor,Eunotia_pectinalis_var._minor,Y,Y,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Eunotia,Eunotia minor,,,
Eunotia_pectinalis,Eunotia_pectinalis,N,Y,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Eunotia,Eunotia pectinalis,,,
Eunotia_praerupta,Eunotia_praerupta,N,Y,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Eunotia,Eunotia praerupta,,,
Eunotia_soleirolii,Eunotia_soleirolii,N,Y,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Eunotia,Eunotia soleirolii,,,
Eunotia_tenella,Eunotia_tenella,N,Y,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Eunotia,Eunotia tenella,,,
Fallacia_pygmaea,Fallacia_pygmaea,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Fallacia,Fallacia pygmaea,,,
Fallacia_tenera,Navicula_tenera,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Fallacia,Fallacia tenera,,,
Fragilaria,Fragilaria,N,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,,,,
Fragilaria_capucina,Fragilaria_capucina,N,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,Fragilaria capucina,,,
Fragilaria_capucina_var._fragilarioides,Synedra_rumpens_var._fragilarioides,Y,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,Fragilaria capucina,,Fragilaria capucina var. fragilarioides,
Fragilaria_capucina_var._mesolepta,Fragilaria_capucina_var._mesolepta,N,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,Fragilaria capucina,,Fragilaria capucina var. mesolepta,NA
Fragilaria_crotonensis,Fragilaria_crotonensis,N,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,Fragilaria crotonensis,,,
Fragilaria_perminuta,Fragilaria_perminuta,N,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,Fragilaria perminuta,,,
Fragilaria_radians,Synedra_radians,Y,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,Fragilaria radians,,,
Fragilaria_tenera,Synedra_tenera,Y,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,Fragilaria tenera,,,
Fragilaria_vaucheriae,Fragilaria_vaucheriae,N,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,Fragilaria vaucheriae,,,
Fragilaria_vaucheriae_var._capitellata,Fragilaria_vaucheriae_var._capitellata,N,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,Fragilaria vaucheriae,,Fragilaria vaucheriae var. capitellata,
Frustulia,Frustulia,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Frustulia,,,,
Frustulia_amphipleuroides,Frustulia_rhomboides_var._amphipleuroides,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Frustulia,Frustulia amphipleuroides,,,
Frustulia_rhomboides,Frustulia_rhomboides,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Frustulia,Frustulia rhomboides,,,
